wastewater_treatment_plant.name,target,collection_date,wastewater_treatment_plant.ara_id,assay,lod,load,load_median
ARA Altenrhein,IAV-M,2024-01-01,323700,RESPV6,6000,6701160,9192796
ARA Altenrhein,IAV-M,2024-01-02,NA,NA,NA,NA,11684432
ARA Altenrhein,IAV-M,2024-01-03,323700,RESPV6,6000,11684432,9192796
ARA Altenrhein,IAV-M,2024-01-04,NA,NA,NA,NA,6701160
ARA Altenrhein,IAV-M,2024-01-05,323700,RESPV6,6000,14982460,10129441
ARA Altenrhein,IAV-M,2024-01-06,323700,RESPV6,6000,6428564,10906936.5
ARA Altenrhein,IAV-M,2024-01-07,323700,RESPV6,6000,6669755,10129441
ARA Altenrhein,IAV-M,2024-01-08,323700,RESPV6,6000,10129441,12555950.5
ARA Altenrhein,IAV-M,2024-01-09,323700,RESPV6,6000,26899726,10129441
ARA Altenrhein,IAV-M,2024-01-10,NA,NA,NA,NA,15370373
ARA Altenrhein,IAV-M,2024-01-11,323700,RESPV6,6000,18022504,17472706
ARA Altenrhein,IAV-M,2024-01-12,NA,NA,NA,NA,17747605
